alpha_country__0,alpha_country__1,alpha_country__2,alpha_country__3,alpha_country__4,alpha_country__5,alpha_country__6,alpha_country__7,alpha_country__8,alpha_country__9,alpha_country__10,alpha_country__11,alpha_country__12,alpha_country__13,alpha_country__14,alpha_country__15,alpha_country__16,alpha_country__17,alpha_country__18,alpha_country__19,alpha_country__20,alpha_country__21,alpha_country__22,alpha_country__23,alpha_country__24,alpha_auction_mech__0,alpha_auction_mech__1,alpha_start_bids__0,alpha_start_bids__1,beta_lots__0,beta_mean_res__0,beta_BPL__0,nu_interval__,sigma_interval__,nu,sigma
0.844834320905,0.335721352794,-0.96775706911,0.576516701596,0.824097236686,-0.635887462873,0.382126121634,-0.97130484082,-0.222724491348,0.691672895394,0.0277351815063,-0.336150339069,0.754624570348,0.886212860004,0.404572775374,-0.215912328334,-0.629632711901,0.193439219957,0.675223004929,0.413693761573,-0.850828334219,0.0640765031765,0.971740267042,-0.623348770154,0.574611215286,0.46857690391,0.0635847174711,-0.482949796002,0.539651041963,-0.342974373159,-0.410711564989,-0.914727014567,-0.0364760986221,-0.552356893858,49.0881986286,0.365317764671
0.844834320905,0.335721352794,-0.96775706911,0.576516701596,0.824097236686,-0.635887462873,0.382126121634,-0.97130484082,-0.222724491348,0.691672895394,0.0277351815063,-0.336150339069,0.754624570348,0.886212860004,0.404572775374,-0.215912328334,-0.629632711901,0.193439219957,0.675223004929,0.413693761573,-0.850828334219,0.0640765031765,0.971740267042,-0.623348770154,0.574611215286,0.46857690391,0.0635847174711,-0.482949796002,0.539651041963,-0.342974373159,-0.410711564989,-0.914727014567,-0.0364760986221,-0.552356893858,49.0881986286,0.365317764671
0.844834320905,0.335721352794,-0.96775706911,0.576516701596,0.824097236686,-0.635887462873,0.382126121634,-0.97130484082,-0.222724491348,0.691672895394,0.0277351815063,-0.336150339069,0.754624570348,0.886212860004,0.404572775374,-0.215912328334,-0.629632711901,0.193439219957,0.675223004929,0.413693761573,-0.850828334219,0.0640765031765,0.971740267042,-0.623348770154,0.574611215286,0.46857690391,0.0635847174711,-0.482949796002,0.539651041963,-0.342974373159,-0.410711564989,-0.914727014567,-0.0364760986221,-0.552356893858,49.0881986286,0.365317764671
0.839291227099,0.347847250665,-0.888111844898,0.574451215775,0.843295120244,-0.597433506409,0.412635722039,-0.917895921496,-0.208590459741,0.722108109686,0.0205395465436,-0.327547457148,0.76564112617,0.867648737606,0.399672294007,-0.211334073664,-0.534750219962,0.197707507596,0.687713566312,0.442142037741,-0.847912572398,0.0129456264857,0.962757754722,-0.626593142568,0.616673830812,0.694791979104,0.194672573809,-0.0418762132762,0.466933028224,-0.374801881903,-0.328070784107,-0.53943919911,-0.0839253428775,-0.0367033172174,47.9030970718,0.490825200646
0.829120747705,0.352416290165,-0.748307407427,0.595394914669,0.85373781126,-0.580650691457,0.438729293225,-0.825111757456,-0.18979562217,0.755235551562,-0.00574946522048,-0.324756026445,0.760621778818,0.842020655196,0.379209339906,-0.208915420756,-0.432848931782,0.191044531839,0.670963628457,0.44543378712,-0.841802220059,0.00230324539669,0.954853408625,-0.621176759186,0.617599221356,0.88607165917,0.37440672857,0.396888737289,0.392079123107,-0.297018095287,-0.19041997645,-0.129852382087,-0.0834050216725,0.211650576349,47.9160823648,0.552716002164
0.826228231346,0.342484426057,-0.728190079049,0.594528382842,0.85629771932,-0.581251934375,0.415340707186,-0.818997341688,-0.179821633958,0.756329928507,-0.0102113756345,-0.32988581712,0.758444936582,0.845841377664,0.378810506335,-0.215808912704,-0.426420182855,0.194259853696,0.670915300273,0.447309441238,-0.837100796782,0.0168739715788,0.953638947905,-0.627597496235,0.603196333643,0.867648033688,0.382091104903,0.394188988544,0.394100607431,-0.26705034415,-0.176681193472,-0.12951734485,-0.0779708382603,0.205242813835,48.051715985,0.551131338696
0.813253111388,0.342713631674,-0.668963854955,0.61014473769,0.861494047526,-0.586085478373,0.347711201763,-0.794203018717,-0.161731321306,0.753831191688,-0.0125046692673,-0.327097411668,0.750397991265,0.835348130537,0.37204575675,-0.196991613464,-0.387978424353,0.194836733739,0.645856310753,0.428060034827,-0.836776431134,0.0192030446395,0.925658884295,-0.616857576462,0.577596572519,0.801749716723,0.412451328917,0.371191129698,0.391184955418,-0.1979041287,-0.137508198964,-0.0884215455701,-0.0882110059829,0.226667194144,47.7961537091,0.556425419639
0.82109066466,0.344786766948,-0.533067951347,0.590993514434,0.879072134675,-0.564039977071,0.265110966691,-0.646701444375,-0.151263748596,0.704266333113,-0.0173498966223,-0.33898786325,0.730473610024,0.829627784155,0.363161210844,-0.180763697467,-0.33953948118,0.179489247897,0.606484832464,0.439601976234,-0.800673040274,0.0223669861192,0.88241899503,-0.61530613976,0.525035766424,0.748163643243,0.500692256269,0.345090401637,0.44431748597,-0.171946894668,-0.0753384812109,-0.0398512645065,-0.102399092161,0.145342964435,47.4422572556,0.536271911179
0.826606751116,0.327395327072,-0.411519760456,0.572689946489,0.904252740057,-0.504669587427,0.210628499999,-0.63248805946,-0.133836252144,0.661155110563,-0.00905154292141,-0.361173956337,0.720968606331,0.795712373305,0.337026092016,-0.15509486041,-0.284057857937,0.167735880783,0.596128078826,0.44522561111,-0.764831088533,0.0186978223386,0.897555411712,-0.628153760801,0.472721765176,0.738903103212,0.531655187727,0.323257314624,0.456098531225,-0.152002422014,-0.109513244485,-0.0140479279677,-0.136362471962,0.0620448291608,46.5962109435,0.51550623326
0.824443295012,0.33477211524,-0.372916169665,0.573146691663,0.913473145816,-0.502614685447,0.180065639732,-0.621416757175,-0.118374019883,0.653037242692,-0.014860529753,-0.37562636235,0.737532828256,0.79209697916,0.330555115881,-0.151138431366,-0.275566777149,0.167498017468,0.600178226794,0.454964912589,-0.753202181737,0.0306109397231,0.876777242659,-0.639481059959,0.465365085825,0.72017404346,0.542904727123,0.297841132631,0.464784782336,-0.165650369611,-0.113251932939,-0.0264560006511,-0.138569124138,0.0329984026026,46.5413044433,0.508248852153
